txn_id,customer_id,txn_date,amount_myr,channel,category,merchant
T0008193,C00439,2026-07-15,7933.78,Branch,Transfer,Instant Transfer
T0009143,C00490,2025-05-12,1657.66,ATM,Cash Withdrawal,ATM Withdrawal
T0003161,C00170,2026-07-02,161.82,ATM,Fuel,Caltex Go
T0000898,C00050,2025-03-26,97.54,Mobile App,Dining,Kenny's Grill
T0007723,C00416,2026-07-15,47.98,Mobile App,Entertainment,GSC Cinemas
T0011174,C00602,2026-07-15,174.76,Branch,Entertainment,Steam
T0008828,C00472,2026-07-15,116.87,Mobile App,Utilities,Indah Water
T0012085,C00652,2025-07-04,5872.72,Branch,Transfer,DuitNow Transfer
T0003526,C00188,2026-04-18,1713.94,QR Pay,Education,SkillUp Academy
T0003206,C00173,2026-01-13,120.74,ATM,Utilities,TNB Bill
T0014614,C00782,2026-06-06,546.13,Mobile App,Travel,Agoda MY
T0008100,C00435,2026-04-01,227.64,Internet Banking,Fuel,PetroMax
T0004844,C00263,2026-06-04,139.75,Debit Card,Entertainment,Netflix MY
T0012587,C00678,2025-09-29,1102.29,ATM,Education,Little Genius
T0013496,C00727,2026-07-15,160.2,ATM,Entertainment,GSC Cinemas
T0003279,C00176,2025-01-09,4135.62,QR Pay,Transfer,DuitNow Transfer
T0004088,C00219,2025-02-14,132.62,ATM,Groceries,MyMart
T0013175,C00708,2025-06-09,67.74,Debit Card,Cash Withdrawal,ATM Withdrawal
T0008125,C00436,2026-05-01,282.38,Branch,Groceries,TescoLite
T0006999,C00374,2025-09-02,75.05,QR Pay,Dining,Sushi Express
T0014398,C00772,2026-07-15,131.21,Mobile App,Fuel,ShellPlus
T0007858,C00422,2026-07-15,61.71,Branch,Telco,Yes 5G
T0014603,C00782,2026-06-07,146.27,Debit Card,Fuel,ShellPlus
T0007628,C00411,2026-03-03,105.82,Internet Banking,Utilities,TNB Bill
T0008381,C00450,2026-02-19,148.11,ATM,Telco,Maxis
T0007456,C00400,2026-06-17,70.99,Mobile App,Dining,BurgerLab
T0008571,C00461,2026-07-15,71.74,Mobile App,Dining,Kenny's Grill
T0013328,C00716,2026-07-15,151.9,ATM,Fuel,BHP Fuel
T0010196,C00548,2026-05-02,100.36,Mobile App,Dining,Kenny's Grill
T0010757,C00579,2026-07-15,853.09,Internet Banking,Education,Little Genius
T0002100,C00115,2026-07-15,1526.63,ATM,Cash Withdrawal,ATM Withdrawal
T0010895,C00588,2025-12-26,1881.71,Debit Card,Cash Withdrawal,ATM Withdrawal
T0002352,C00126,2025-08-12,217.45,Mobile App,Entertainment,Netflix MY
T0008403,C00451,2026-05-19,3171.32,Mobile App,Transfer,DuitNow Transfer
T0007738,C00416,2026-07-15,159.75,Debit Card,Dining,Kenny's Grill
T0007130,C00381,2025-02-25,36.36,Mobile App,Healthcare,Guardian Pharma
T0000246,C00012,2026-04-11,1589.7,Debit Card,Cash Withdrawal,ATM Withdrawal
T0012619,C00680,2026-06-11,1081.17,Branch,Retail Shopping,Uniqlo MY
T0006571,C00350,2026-07-15,320.78,Mobile App,Healthcare,Caring Pharm
T0000638,C00035,2025-03-18,1085.56,Mobile App,Education,Little Genius
T0004759,C00258,2026-05-09,3282.92,ATM,Transfer,Instant Transfer
T0005739,C00310,2026-07-15,112.02,Mobile App,Retail Shopping,H&M Central
T0013191,C00709,2025-04-28,264.43,Debit Card,Groceries,GiantValue
T0004871,C00264,2026-03-15,479.71,Debit Card,Healthcare,BP Healthcare
T0002013,C00110,2026-07-15,4391.69,Mobile App,Travel,Grab Rides
T0000704,C00039,2025-06-25,860.09,Branch,Cash Withdrawal,ATM Withdrawal
T0007510,C00403,2025-10-01,5250.7,Internet Banking,Transfer,IBG Transfer
T0014971,C00799,2025-02-25,181.21,Mobile App,Education,Little Genius
T0014549,C00779,2025-05-23,228.73,Branch,Utilities,Unifi
T0011116,C00599,2025-10-22,1463.91,QR Pay,Travel,KTM Berhad
T0013174,C00708,2026-07-15,64.23,Branch,Telco,Yes 5G
T0013628,C00733,2025-01-03,106.21,Internet Banking,Dining,BurgerLab
T0006034,C00323,2025-05-25,5616.82,Mobile App,Transfer,DuitNow Transfer
T0012878,C00693,2026-02-12,36.14,Internet Banking,Telco,Celcom
T0006225,C00333,2026-07-15,2369.53,ATM,Travel,AirAsia
T0007841,C00421,2025-04-07,4748.12,Mobile App,Transfer,IBG Transfer
T0014751,C00789,2025-05-31,1010.31,ATM,Retail Shopping,H&M Central
T0013409,C00721,2026-02-16,871.61,Debit Card,Transfer,Instant Transfer
T0005713,C00309,2025-07-14,2611.18,Debit Card,Travel,MAS Booking
T0008418,C00452,2025-05-09,516.47,Branch,Transfer,IBG Transfer
T0009767,C00524,2026-06-22,7814.96,Debit Card,Transfer,DuitNow Transfer
T0013325,C00715,2026-07-15,2410.62,Mobile App,Travel,MAS Booking
T0003982,C00213,2026-05-19,4280.98,Mobile App,Transfer,DuitNow Transfer
T0007967,C00428,2026-04-03,282.9,QR Pay,Utilities,TNB Bill
T0004169,C00224,2025-02-28,166.54,Mobile App,Groceries,FreshMart
T0000770,C00042,2026-07-15,164.49,Branch,Retail Shopping,Padini Store
T0007409,C00397,2025-07-15,212.73,ATM,Entertainment,TGV Movies
T0012494,C00673,2026-04-25,151.64,Mobile App,Education,EduBooks
T0014253,C00764,2026-07-15,102.88,Mobile App,Fuel,BHP Fuel
T0002892,C00154,2025-10-28,2828.78,Internet Banking,Education,TuitionPro
T0003095,C00165,2026-04-26,336.25,Mobile App,Healthcare,Caring Pharm
T0007315,C00392,2026-02-19,4852.04,QR Pay,Travel,AirAsia
T0005426,C00294,2025-09-03,2245.04,QR Pay,Education,TuitionPro
T0012763,C00686,2025-08-14,134.44,Mobile App,Groceries,Jaya Grocer Co
T0007506,C00402,2025-07-21,113.19,Internet Banking,Entertainment,Spotify MY
T0006054,C00324,2025-03-01,120.54,Mobile App,Entertainment,Spotify MY
T0000254,C00013,2025-07-05,377.48,ATM,Travel,Agoda MY
T0006536,C00348,2026-02-14,599.53,Mobile App,Education,TuitionPro
T0003967,C00212,2025-11-18,367.45,QR Pay,Utilities,Indah Water
T0014530,C00778,2026-07-15,144.36,Internet Banking,Telco,Yes 5G
T0005385,C00292,2026-06-23,163.2,Internet Banking,Utilities,Indah Water
T0004163,C00224,2025-09-16,151.93,QR Pay,Fuel,ShellPlus
T0002645,C00141,2026-05-30,371.14,Mobile App,Healthcare,Watsons
T0004419,C00238,2026-07-15,156.96,Internet Banking,Telco,Maxis
T0012858,C00691,2025-10-17,62.96,QR Pay,Dining,BurgerLab
T0012384,C00668,2026-02-21,270.39,Internet Banking,Retail Shopping,Uniqlo MY
T0000007,C00001,2025-08-26,133.94,Mobile App,Entertainment,Netflix MY
T0005598,C00303,2025-07-03,199.51,QR Pay,Dining,Sushi Express
T0011908,C00642,2026-07-15,529.78,ATM,Cash Withdrawal,ATM Withdrawal
T0008206,C00440,2025-10-23,146.06,Mobile App,Utilities,Air Selangor
T0006774,C00363,2025-12-02,283.39,Debit Card,Telco,Digi
T0008674,C00465,2026-03-26,1099.51,Debit Card,Cash Withdrawal,ATM Withdrawal
T0007580,C00408,2026-04-21,564.82,Mobile App,Cash Withdrawal,ATM Withdrawal
T0004971,C00269,2026-07-15,123.85,Internet Banking,Entertainment,Netflix MY
T0001433,C00080,2025-09-19,1145.0,Debit Card,Education,TuitionPro
T0010137,C00545,2025-03-26,1762.9,Mobile App,Education,Little Genius
T0006908,C00370,2025-07-09,3290.15,Mobile App,Travel,MAS Booking
T0013396,C00720,2025-06-10,1345.69,Internet Banking,Education,Little Genius
T0012442,C00670,2025-06-04,50.48,QR Pay,Entertainment,Spotify MY
T0002812,C00150,2025-05-23,242.92,Debit Card,Entertainment,GSC Cinemas
T0004194,C00225,2026-07-15,190.7,Mobile App,Groceries,Jaya Grocer Co
T0001038,C00056,2025-11-17,263.82,Branch,Telco,Digi
T0013213,C00710,2025-10-21,91.3,Debit Card,Dining,KopiTiam Central
T0003695,C00198,2026-03-09,184.73,Mobile App,Dining,Kenny's Grill
T0003154,C00169,2025-05-28,7565.76,ATM,Transfer,IBG Transfer
T0013518,C00728,2026-01-12,131.75,ATM,Telco,Maxis
T0003728,C00200,2025-05-02,512.02,ATM,Cash Withdrawal,ATM Withdrawal
T0000765,C00042,2025-02-11,1883.65,ATM,Cash Withdrawal,ATM Withdrawal
T0009319,C00500,2026-06-13,327.36,Debit Card,Groceries,TescoLite
T0008555,C00460,2026-03-23,126.28,ATM,Fuel,ShellPlus
T0014097,C00756,2025-08-01,2869.45,Internet Banking,Education,SkillUp Academy
T0000432,C00022,2026-02-25,6517.49,Branch,Transfer,IBG Transfer
T0001680,C00093,2026-07-15,472.52,Mobile App,Utilities,Air Selangor
T0006433,C00343,2026-07-15,146.1,ATM,Fuel,Caltex Go
T0009186,C00493,2025-01-06,897.99,Mobile App,Cash Withdrawal,ATM Withdrawal
T0013837,C00744,2026-07-15,76.84,Mobile App,Cash Withdrawal,ATM Withdrawal
T0004698,C00254,2026-03-12,5436.47,Debit Card,Transfer,DuitNow Transfer
T0004988,C00270,2026-07-15,121.26,Debit Card,Fuel,Caltex Go
T0010055,C00540,2026-07-15,13.38,Branch,Dining,Nasi Kandar House
T0011748,C00633,2025-08-28,70.03,Mobile App,Groceries,MyMart
T0006798,C00364,2025-08-21,965.18,Mobile App,Retail Shopping,MR DIY
T0006983,C00374,2025-06-23,52.17,Mobile App,Entertainment,Netflix MY
T0002003,C00110,2025-06-28,174.85,Debit Card,Dining,BurgerLab
T0000803,C00044,2025-06-09,643.92,Internet Banking,Healthcare,Klinik Mediviron
T0006715,C00359,2025-12-13,235.6,Mobile App,Entertainment,Netflix MY
T0014301,C00766,2026-07-15,39.07,QR Pay,Dining,BurgerLab
T0010177,C00547,2026-03-17,192.81,ATM,Groceries,Jaya Grocer Co
T0000227,C00012,2026-06-14,135.7,Debit Card,Groceries,TescoLite
T0006312,C00338,2026-04-27,236.43,ATM,Groceries,Jaya Grocer Co
T0012051,C00651,2025-09-24,10.71,Debit Card,Dining,Sushi Express
T0010946,C00590,2025-08-21,260.7,Internet Banking,Groceries,MyMart
T0003714,C00199,2026-07-15,1799.73,Internet Banking,Education,Little Genius
T0009875,C00530,2026-01-21,402.33,ATM,Utilities,Unifi
T0011322,C00610,2025-11-28,105.32,Mobile App,Entertainment,GSC Cinemas
T0000887,C00049,2025-10-17,64.29,Mobile App,Fuel,PetroMax
T0008779,C00470,2025-09-03,126.57,Internet Banking,Groceries,MyMart
T0004425,C00238,2026-07-15,471.03,Internet Banking,Healthcare,BP Healthcare
T0002638,C00140,2026-07-15,131.23,Debit Card,Fuel,ShellPlus
T0007273,C00388,2025-02-28,714.74,Debit Card,Travel,AirAsia
T0008955,C00480,2026-07-15,2484.45,Internet Banking,Travel,Agoda MY
T0012173,C00657,2025-11-27,198.46,Debit Card,Retail Shopping,H&M Central
T0012957,C00697,2026-01-15,3348.78,Debit Card,Travel,Grab Rides
T0009755,C00523,2026-05-12,464.56,Debit Card,Healthcare,Klinik Mediviron
T0003363,C00181,2025-08-27,183.87,Mobile App,Healthcare,Klinik Mediviron
T0011145,C00600,2026-04-13,159.75,Mobile App,Dining,Kenny's Grill
T0006218,C00332,2026-01-16,1612.52,Branch,Cash Withdrawal,ATM Withdrawal
T0013599,C00732,2025-11-23,238.26,Mobile App,Telco,Maxis
T0010168,C00546,2026-07-15,89.51,QR Pay,Fuel,PetroMax
T0001938,C00107,2025-02-10,1484.22,Mobile App,Education,SkillUp Academy
T0005458,C00296,2025-02-03,6156.8,Debit Card,Transfer,IBG Transfer
T0004142,C00222,2025-08-04,3783.68,QR Pay,Travel,Agoda MY
T0010504,C00566,2026-07-15,137.04,Debit Card,Dining,BurgerLab
T0003825,C00206,2025-12-28,103.74,Debit Card,Entertainment,Steam
T0007935,C00426,2026-07-15,274.0,ATM,Cash Withdrawal,ATM Withdrawal
T0008899,C00477,2026-07-15,125.86,Debit Card,Entertainment,Netflix MY
T0000560,C00030,2026-07-15,409.33,Internet Banking,Travel,AirAsia
T0011863,C00639,2025-05-24,240.05,Debit Card,Utilities,TNB Bill
T0002085,C00114,2025-08-17,301.82,ATM,Groceries,FreshMart
T0002622,C00139,2025-02-22,175.03,Debit Card,Utilities,TNB Bill
T0006596,C00351,2025-01-25,99.53,Mobile App,Telco,Digi
T0001047,C00057,2025-01-06,2436.11,Mobile App,Transfer,IBG Transfer
T0010272,C00552,2025-11-08,179.22,QR Pay,Groceries,GiantValue
T0009466,C00507,2025-01-06,4432.45,ATM,Transfer,IBG Transfer
T0010068,C00541,2025-01-25,299.22,ATM,Groceries,Jaya Grocer Co
T0008788,C00471,2025-07-31,129.89,ATM,Fuel,Petronas Station
T0008928,C00478,2025-04-16,12.47,Mobile App,Dining,KopiTiam Central
T0005047,C00274,2026-07-15,126.53,Debit Card,Fuel,Caltex Go
T0013719,C00737,2025-02-04,88.45,Debit Card,Fuel,BHP Fuel
T0005161,C00281,2025-02-28,327.48,Internet Banking,Groceries,MyMart
T0009277,C00499,2025-07-11,821.67,Debit Card,Retail Shopping,Harvey Norman
T0009827,C00527,2025-10-14,69.32,Mobile App,Entertainment,Spotify MY
T0012432,C00670,2026-07-07,218.46,Internet Banking,Fuel,Petronas Station
T0000448,C00023,2026-07-15,2264.24,ATM,Transfer,IBG Transfer
T0002800,C00149,2025-07-09,320.24,Internet Banking,Groceries,GiantValue
T0002538,C00136,2026-07-15,2958.83,Branch,Education,Little Genius
T0000581,C00031,2025-01-31,125.2,Mobile App,Fuel,Petronas Station
T0014762,C00790,2025-09-16,846.48,QR Pay,Retail Shopping,Uniqlo MY
T0006583,C00351,2025-02-12,3673.68,Mobile App,Travel,Agoda MY
T0008598,C00461,2025-08-27,61.39,Internet Banking,Groceries,Jaya Grocer Co
T0007112,C00381,2026-01-03,6244.29,ATM,Transfer,DuitNow Transfer
T0004902,C00266,2026-07-15,187.75,Mobile App,Fuel,BHP Fuel
T0000265,C00014,2025-07-20,191.49,Mobile App,Entertainment,Steam
T0010417,C00560,2026-05-27,2787.42,Internet Banking,Education,SkillUp Academy
T0002619,C00139,2025-08-30,153.26,Mobile App,Entertainment,Spotify MY
T0013469,C00725,2025-03-10,145.13,QR Pay,Entertainment,Spotify MY
T0009937,C00533,2025-04-26,169.4,Branch,Groceries,TescoLite
T0004148,C00222,2025-05-31,565.28,Branch,Transfer,IBG Transfer
T0010580,C00569,2025-06-11,36.18,Debit Card,Telco,Yes 5G
T0001253,C00070,2026-06-12,2362.94,ATM,Travel,AirAsia
T0004914,C00266,2026-03-16,159.41,ATM,Healthcare,Caring Pharm
T0009694,C00519,2026-01-17,201.03,Mobile App,Entertainment,TGV Movies
T0000849,C00047,2026-07-15,182.78,Internet Banking,Dining,KopiTiam Central
T0003949,C00212,2026-05-02,829.91,Mobile App,Cash Withdrawal,ATM Withdrawal
T0011371,C00612,2025-04-24,698.18,Debit Card,Healthcare,Klinik Mediviron
T0004343,C00233,2026-04-29,105.48,Mobile App,Groceries,MyMart
T0013247,C00712,2026-07-15,1551.09,ATM,Education,EduBooks
T0011213,C00604,2026-07-15,58.83,Debit Card,Fuel,ShellPlus
T0006641,C00354,2026-03-15,5076.68,ATM,Transfer,DuitNow Transfer
T0010736,C00577,2026-03-05,73.69,Debit Card,Retail Shopping,Uniqlo MY
T0009953,C00534,2026-03-03,2654.31,Mobile App,Education,Little Genius
T0000910,C00050,2026-07-15,379.08,Mobile App,Retail Shopping,Uniqlo MY
T0008054,C00433,2026-06-19,69.34,QR Pay,Entertainment,Spotify MY
T0013424,C00722,2025-01-25,38.59,Internet Banking,Fuel,PetroMax
T0011414,C00614,2026-07-15,81.22,Debit Card,Fuel,PetroMax
T0003616,C00193,2025-11-13,218.05,Internet Banking,Entertainment,Netflix MY
T0002539,C00136,2025-10-23,285.37,Debit Card,Telco,U Mobile
T0000985,C00053,2025-09-06,78.98,Mobile App,Entertainment,Spotify MY
T0005825,C00314,2025-01-30,1919.07,Internet Banking,Education,Coursera MY
T0004529,C00243,2025-07-26,185.78,Debit Card,Groceries,TescoLite
T0014510,C00777,2026-07-15,88.24,Mobile App,Utilities,Indah Water
T0013144,C00707,2026-07-15,151.54,ATM,Dining,Kenny's Grill
T0008132,C00437,2026-07-15,68.79,Debit Card,Telco,Celcom
T0009021,C00484,2026-05-08,2102.93,Debit Card,Education,SkillUp Academy
T0005637,C00305,2025-09-02,337.1,Debit Card,Utilities,Indah Water
T0014581,C00781,2025-11-21,1867.85,ATM,Cash Withdrawal,ATM Withdrawal
T0009998,C00536,2025-07-22,7300.2,Mobile App,Transfer,Instant Transfer
T0012340,C00666,2026-03-29,134.65,Internet Banking,Groceries,MyMart
T0004296,C00231,2026-07-15,216.76,ATM,Entertainment,TGV Movies
T0008769,C00470,2026-02-25,372.0,QR Pay,Healthcare,Caring Pharm
T0002672,C00142,2026-07-15,207.8,Branch,Entertainment,TGV Movies
T0010235,C00550,2026-03-06,4982.44,Branch,Travel,Agoda MY
T0001094,C00060,2025-08-04,17.66,QR Pay,Entertainment,Netflix MY
T0005293,C00288,2025-11-17,95.1,Debit Card,Fuel,Caltex Go
T0001259,C00071,2025-04-22,168.74,Mobile App,Entertainment,Spotify MY
T0002639,C00140,2025-10-26,314.74,Branch,Utilities,Astro
T0008251,C00442,2026-07-15,103.45,Mobile App,Entertainment,GSC Cinemas
T0013675,C00735,2025-09-19,164.57,QR Pay,Utilities,TNB Bill
T0002574,C00137,2026-07-15,248.44,Mobile App,Groceries,TescoLite
T0000663,C00037,2025-11-28,2011.96,Debit Card,Transfer,IBG Transfer
T0010914,C00588,2025-05-02,408.52,Mobile App,Retail Shopping,Uniqlo MY
T0000888,C00049,2025-11-11,87.12,Mobile App,Dining,Nasi Kandar House
T0003918,C00210,2025-11-29,549.79,Mobile App,Cash Withdrawal,ATM Withdrawal
T0005453,C00296,2026-07-13,6239.55,Mobile App,Transfer,IBG Transfer
T0008860,C00474,2026-05-04,171.02,QR Pay,Fuel,Petronas Station
T0005197,C00283,2025-01-12,408.54,Branch,Cash Withdrawal,ATM Withdrawal
T0007889,C00424,2026-03-16,240.9,Branch,Telco,Digi
T0010238,C00550,2026-07-15,23.48,Mobile App,Entertainment,TGV Movies
T0008651,C00464,2026-07-15,38.76,Mobile App,Telco,Maxis
T0012821,C00690,2025-08-11,373.35,Mobile App,Healthcare,Caring Pharm
T0013422,C00722,2025-03-28,300.78,Mobile App,Groceries,TescoLite
T0005377,C00291,2026-07-15,197.15,Branch,Retail Shopping,Uniqlo MY
T0006965,C00373,2025-03-24,645.06,Internet Banking,Healthcare,Klinik Mediviron
T0004325,C00232,2026-07-02,126.23,ATM,Telco,Digi
T0012789,C00688,2026-07-15,206.83,Internet Banking,Groceries,Jaya Grocer Co
T0005813,C00313,2026-01-10,216.93,Debit Card,Fuel,PetroMax
T0001322,C00074,2025-11-06,53.26,QR Pay,Groceries,TescoLite
T0010746,C00578,2025-12-02,50.8,Branch,Retail Shopping,Padini Store
T0011604,C00623,2026-07-15,1134.47,ATM,Retail Shopping,Padini Store
T0007096,C00379,2026-06-23,703.95,Mobile App,Healthcare,BP Healthcare
T0011361,C00611,2026-07-15,246.72,ATM,Travel,AirAsia
T0005891,C00317,2025-03-22,158.63,Internet Banking,Entertainment,Spotify MY
T0012758,C00686,2026-07-15,889.49,Mobile App,Retail Shopping,H&M Central
T0004326,C00232,2025-11-13,789.96,Mobile App,Healthcare,Caring Pharm
T0010708,C00576,2026-07-05,1099.49,Mobile App,Retail Shopping,Harvey Norman
T0000588,C00032,2026-07-15,19.28,Internet Banking,Entertainment,Steam
T0009145,C00491,2025-11-26,318.59,Mobile App,Healthcare,Klinik Mediviron
T0006599,C00351,2026-01-02,100.47,Mobile App,Groceries,MyMart
T0009015,C00483,2025-03-14,417.82,QR Pay,Utilities,Indah Water
T0009290,C00499,2026-05-04,3091.48,Internet Banking,Travel,MAS Booking
T0004114,C00220,2025-08-27,1489.67,Mobile App,Travel,MAS Booking
T0012126,C00655,2025-12-26,339.73,QR Pay,Retail Shopping,Padini Store
T0014820,C00793,2026-07-15,172.96,ATM,Fuel,BHP Fuel
T0009569,C00513,2026-01-09,3222.15,QR Pay,Travel,Agoda MY
T0012649,C00681,2026-07-15,146.73,Branch,Telco,U Mobile
T0011430,C00614,2026-03-16,391.33,Internet Banking,Utilities,Air Selangor
T0006658,C00355,2026-07-15,923.82,Mobile App,Retail Shopping,Padini Store
T0006988,C00374,2025-07-03,106.32,Mobile App,Dining,Kenny's Grill
T0004226,C00227,2025-05-13,238.48,QR Pay,Utilities,TNB Bill
T0007909,C00424,2026-01-25,236.36,Mobile App,Groceries,TescoLite
T0007798,C00419,2026-04-03,208.51,Debit Card,Utilities,Indah Water
T0005169,C00281,2026-01-17,768.69,QR Pay,Healthcare,Klinik Mediviron
T0001854,C00102,2025-08-10,79.75,Internet Banking,Dining,Sushi Express
T0011615,C00623,2025-07-12,2689.93,Internet Banking,Travel,AirAsia
T0005991,C00321,2026-07-15,1679.74,QR Pay,Cash Withdrawal,ATM Withdrawal
T0004764,C00259,2025-03-02,73.34,Branch,Fuel,BHP Fuel
T0012168,C00657,2026-03-17,216.37,Mobile App,Groceries,GiantValue
T0003414,C00183,2026-02-12,481.03,Mobile App,Retail Shopping,Harvey Norman
T0014862,C00794,2026-02-23,46.65,Mobile App,Entertainment,Netflix MY
T0013014,C00699,2026-07-13,2856.09,Mobile App,Education,TuitionPro
T0009546,C00511,2025-07-12,1231.85,Mobile App,Cash Withdrawal,ATM Withdrawal
T0005367,C00291,2026-04-26,156.56,Debit Card,Groceries,MyMart
T0014499,C00776,2026-04-07,111.29,QR Pay,Telco,U Mobile
T0012697,C00684,2025-09-23,325.74,ATM,Healthcare,Watsons
T0012991,C00698,2026-04-25,1885.1,Mobile App,Travel,Grab Rides
T0009340,C00502,2026-03-30,317.47,Mobile App,Retail Shopping,Uniqlo MY
T0013074,C00703,2026-01-31,953.8,Debit Card,Cash Withdrawal,ATM Withdrawal
T0014528,C00778,2025-07-16,78.5,Mobile App,Telco,Yes 5G
T0003027,C00160,2026-05-19,301.49,Mobile App,Healthcare,Caring Pharm
T0006878,C00368,2025-12-31,2762.43,QR Pay,Education,SkillUp Academy
T0006923,C00371,2026-07-15,162.53,Debit Card,Dining,Sushi Express
T0007867,C00423,2025-06-10,2032.77,Mobile App,Education,Coursera MY
T0000979,C00053,2026-07-15,461.97,Debit Card,Healthcare,Watsons
T0005780,C00311,2025-04-21,73.51,ATM,Telco,Yes 5G
T0001125,C00062,2026-06-06,446.8,Mobile App,Retail Shopping,H&M Central
T0007969,C00428,2026-07-15,782.82,Mobile App,Travel,Grab Rides
T0006494,C00346,2026-07-15,96.25,Mobile App,Utilities,Air Selangor
T0003326,C00179,2025-10-25,210.58,Mobile App,Healthcare,Caring Pharm
T0009326,C00501,2025-10-26,20.62,Mobile App,Entertainment,TGV Movies
T0004383,C00236,2026-05-25,3631.15,Internet Banking,Travel,Agoda MY
T0004278,C00230,2026-02-25,234.34,ATM,Entertainment,Spotify MY
T0014330,C00768,2025-04-19,84.6,Mobile App,Groceries,GiantValue
