account_id,customer_id,product_id,balance_myr,open_date,status
A000089,C00047,P01,27275.74,2026-02-16,Active
A000090,C00048,P01,68941.55,2023-09-25,Active
A000091,C00048,P02,91682.52,2025-07-01,Active
A000092,C00049,P03,12385.37,2026-10-31,Active
A000093,C00049,P01,9314.06,2020-11-30,Active
A000094,C00050,P01,17867.37,2019-06-07,Active
A000095,C00050,P02,143796.87,2026-09-09,Active
A000096,C00051,P01,13610.85,2020-12-19,Active
A000097,C00052,P01,26007.55,2023-03-20,Dormant
A000098,C00053,P01,10246.35,2026-04-21,Active
A000099,C00054,P01,41079.11,2025-08-07,Active
A000100,C00055,P01,51942.85,2026-09-29,Active
A000101,C00055,P10,-13066.1,2026-08-09,Active
A000102,C00056,P04,-22672.11,2026-11-08,Active
A000103,C00056,P01,22969.38,2025-07-20,Active
A000104,C00057,P03,41716.29,2024-08-04,Active
A000105,C00057,P01,23275.98,2025-08-15,Active
A000106,C00057,P04,-22925.01,2024-11-30,Active
A000107,C00058,P01,33315.51,2025-06-08,Active
A000108,C00059,P01,23260.58,2023-03-01,Active
A000109,C00060,P04,-28678.27,2026-01-20,Active
A000110,C00060,P01,19808.62,2023-08-17,Active
A000111,C00060,P02,108316.6,2022-01-29,Active
A000112,C00061,P04,-22693.03,2026-03-04,Active
A000113,C00061,P01,22436.29,2022-03-16,Active
A000114,C00062,P01,9370.01,2026-07-21,Active
A000115,C00062,P05,-148222.43,2026-04-26,Active
A000116,C00063,P03,39714.33,2022-09-22,Active
A000117,C00063,P01,30026.09,2024-10-12,Dormant
A000118,C00064,P03,31408.5,2020-09-28,Dormant
A000119,C00064,P01,25852.78,2026-09-26,Active
A000120,C00065,P04,-9200.36,2014-11-10,Dormant
A000121,C00065,P01,12956.07,2018-04-29,Active
A000122,C00066,P03,23525.56,2022-12-14,Active
A000123,C00066,P01,15359.08,2019-04-08,Dormant
A000124,C00067,P03,54793.87,2026-11-06,Active
A000125,C00067,P01,21865.33,2026-12-22,Active
A000126,C00067,P02,216597.94,2026-10-28,Active
A000127,C00068,P01,23468.69,2026-04-02,Active
A000128,C00068,P05,-226511.62,2018-06-12,Active
A000129,C00069,P01,28629.13,2024-06-23,Active
A000130,C00070,P01,9872.09,2024-02-16,Active
A000131,C00070,P05,-113836.61,2025-08-27,Active
A000132,C00071,P04,-13033.92,2026-05-30,Active
A000133,C00071,P01,3624.32,2024-12-07,Active
A000134,C00071,P06,-93087.41,2025-01-24,Active
A000135,C00072,P04,-27886.09,2025-03-06,Active
A000136,C00072,P01,16572.7,2023-02-03,Active
A000137,C00073,P01,45010.93,2025-06-09,Active
A000138,C00073,P02,38589.41,2015-11-01,Active
A000139,C00073,P10,-5477.11,2013-05-11,Active
A000140,C00074,P01,38662.44,2021-03-19,Active
A000141,C00074,P02,55509.96,2021-11-02,Active
A000142,C00074,P10,-6994.62,2018-02-11,Active
A000143,C00075,P03,67153.18,2026-12-01,Closed
A000144,C00075,P01,56536.47,2026-05-22,Active
A000145,C00075,P04,-11101.86,2026-04-30,Active
A000146,C00076,P01,36755.61,2013-04-25,Active
A000147,C00077,P04,-26378.35,2021-11-17,Closed
A000148,C00077,P01,38258.24,2018-04-08,Active
A000149,C00078,P01,17932.51,2026-06-19,Dormant
A000150,C00079,P04,-24621.72,2025-12-08,Active
A000151,C00079,P01,30683.74,2025-06-08,Active
A000152,C00079,P11,1379.13,2024-01-30,Dormant
A000153,C00080,P03,7848.68,2018-06-13,Active
A000154,C00080,P01,10113.96,2026-02-07,Dormant
A000155,C00081,P01,14964.51,2023-04-10,Active
A000156,C00082,P04,-6270.72,2017-12-29,Active
A000157,C00082,P01,7635.21,2019-01-14,Active
A000158,C00082,P02,23074.71,2017-10-09,Active
A000159,C00083,P04,-23521.07,2019-01-02,Active
A000160,C00083,P01,42373.98,2021-06-27,Active
A000161,C00083,P10,-9110.98,2019-06-26,Active
A000162,C00083,P11,63995.55,2025-12-02,Active
A000163,C00084,P03,15442.73,2014-06-04,Active
A000164,C00084,P01,26620.47,2018-07-29,Active
A000165,C00084,P06,-57021.4,2017-04-29,Closed
A000166,C00084,P04,-26362.34,2023-05-30,Active
A000167,C00084,P02,63687.62,2018-04-13,Active
A000168,C00085,P01,10821.71,2026-07-08,Active
A000169,C00085,P06,-49886.0,2026-12-15,Active
A000170,C00086,P01,18935.7,2025-12-24,Dormant
A000171,C00086,P10,-3134.69,2026-09-26,Active
A000172,C00087,P04,-28142.04,2022-06-24,Active
A000173,C00087,P01,2224.89,2022-01-18,Active
A000174,C00087,P10,-9910.96,2025-10-19,Active
A000175,C00087,P05,-194661.16,2025-10-25,Active
A000176,C00088,P01,33843.88,2015-09-14,Active
A000177,C00089,P01,31924.52,2026-05-11,Active
A000178,C00090,P01,20672.99,2017-08-25,Closed
A000179,C00091,P01,55097.11,2022-11-01,Active
A000180,C00092,P01,1328.55,2024-10-31,Active
A000181,C00093,P03,43391.82,2022-05-18,Active
A000182,C00093,P01,32866.92,2021-04-02,Active
A000183,C00094,P01,9372.12,2024-09-09,Active
A000184,C00096,P01,400.69,2022-02-24,Active
A000185,C00096,P02,33376.85,2022-08-14,Active
A000186,C00097,P01,5679.59,2020-09-06,Active
A000187,C00098,P01,15794.34,2024-01-12,Dormant
A000188,C00098,P10,-9984.36,2025-10-18,Active
A000189,C00099,P01,39215.07,2024-08-28,Active
A000190,C00100,P01,22059.74,2025-12-06,Active
A000191,C00100,P02,89053.26,2026-04-05,Active
A000192,C00101,P01,9507.88,2021-01-20,Active
A000193,C00101,P06,-53422.09,2023-09-26,Active
A000194,C00102,P01,20470.12,2021-06-20,Active
A000195,C00103,P03,35755.59,2026-08-28,Active
A000196,C00103,P01,15772.69,2026-01-23,Active
A000197,C00103,P06,-94134.3,2025-08-21,Active
A000198,C00104,P03,21535.05,2025-06-29,Active
A000199,C00104,P01,25953.36,2023-04-18,Active
A000200,C00104,P04,-28950.03,2024-12-16,Active
A000201,C00105,P01,5907.43,2025-08-27,Active
A000202,C00105,P05,-213081.54,2014-01-06,Active
A000203,C00106,P01,46602.41,2024-10-13,Active
A000204,C00106,P06,-92109.86,2026-10-21,Active
A000205,C00107,P01,9711.39,2025-10-26,Active
A000206,C00107,P05,-107354.97,2017-12-04,Active
A000207,C00108,P03,77168.03,2026-04-14,Active
A000208,C00108,P01,15675.55,2025-01-06,Active
A000209,C00109,P01,16653.32,2020-09-10,Active
A000210,C00110,P01,42428.36,2017-02-08,Active
A000211,C00111,P01,54615.13,2020-02-22,Active
A000212,C00112,P03,46311.25,2025-01-07,Active
A000213,C00112,P01,44777.09,2026-06-03,Active
A000214,C00112,P06,-78126.68,2024-12-14,Active
A000215,C00113,P01,48975.68,2026-03-08,Dormant
A000216,C00114,P01,39863.38,2015-09-11,Active
A000217,C00114,P06,-66796.95,2022-01-28,Active
A000218,C00115,P01,36680.95,2014-10-16,Active
A000219,C00116,P01,34368.46,2025-04-24,Active
A000220,C00117,P01,22504.23,2022-01-29,Dormant
A000221,C00118,P01,39799.74,2021-04-14,Active
A000222,C00118,P10,-1152.67,2019-01-30,Active
A000223,C00119,P01,33784.63,2016-03-01,Active
A000224,C00120,P01,23015.8,2025-01-09,Active
A000225,C00121,P01,9774.45,2015-12-05,Active
A000226,C00122,P03,4783.93,2026-07-13,Active
A000227,C00122,P01,28216.06,2026-02-16,Active
A000228,C00122,P06,-35914.15,2026-01-03,Active
A000229,C00122,P10,-6482.15,2026-08-01,Active
A000230,C00122,P02,178408.47,2026-06-09,Active
A000231,C00123,P01,6308.79,2016-02-17,Active
A000232,C00124,P01,78922.11,2022-12-10,Active
A000233,C00124,P05,-233791.54,2019-05-16,Active
A000234,C00124,P11,52720.43,2019-03-23,Active
A000235,C00125,P01,24278.8,2018-05-08,Active
A000236,C00126,P01,16381.13,2025-07-04,Active
A000237,C00127,P03,29125.0,2024-05-06,Active
A000238,C00127,P01,35052.08,2023-04-03,Active
A000239,C00128,P03,42445.15,2024-07-08,Active
A000240,C00128,P01,32163.34,2013-08-16,Active
A000241,C00129,P01,33106.3,2025-07-07,Active
A000242,C00130,P04,-12591.55,2025-07-24,Active
A000243,C00130,P01,16831.2,2025-04-15,Active
A000244,C00131,P01,38611.38,2025-03-26,Active
A000245,C00132,P03,24201.65,2023-03-22,Active
A000246,C00132,P01,4243.24,2025-12-06,Active
A000247,C00133,P01,36464.48,2022-06-11,Active
A000248,C00134,P01,36568.2,2025-10-31,Active
A000249,C00134,P06,-38539.6,2026-08-13,Active
A000250,C00135,P01,15791.12,2026-08-06,Active
A000251,C00136,P01,50291.4,2026-07-06,Dormant
A000252,C00137,P03,29863.1,2023-08-05,Dormant
A000253,C00138,P01,48161.27,2026-11-28,Active
A000254,C00138,P10,-13891.37,2023-04-17,Active
A000255,C00139,P01,25324.39,2025-06-29,Active
A000256,C00139,P06,-87841.2,2025-11-03,Active
A000257,C00139,P10,-957.41,2025-12-06,Active
A000258,C00140,P04,-24529.72,2019-09-12,Active
A000259,C00140,P01,16892.63,2016-11-14,Active
A000260,C00140,P05,-170290.49,2026-07-28,Active
A000261,C00141,P03,12885.38,2025-08-06,Active
A000262,C00141,P01,24814.62,2026-07-22,Active
A000263,C00142,P01,36543.14,2026-09-17,Active
A000264,C00143,P01,60653.08,2022-10-26,Active
A000265,C00144,P03,32244.09,2026-03-02,Active
A000266,C00144,P01,7842.09,2026-11-10,Active
A000267,C00145,P03,3454.61,2016-03-16,Active
A000268,C00145,P10,-2479.85,2019-12-15,Active
A000269,C00146,P01,9549.72,2022-03-17,Active
A000270,C00146,P06,-109903.16,2024-05-24,Active
A000271,C00147,P04,-19606.67,2019-03-25,Closed
A000272,C00147,P01,9696.2,2021-04-26,Active
A000273,C00148,P06,-117037.4,2026-09-29,Dormant
A000274,C00149,P01,24632.55,2023-10-22,Active
A000275,C00149,P05,-239351.25,2022-11-16,Active
A000276,C00150,P01,15620.71,2026-11-19,Active
A000277,C00150,P11,22696.19,2026-08-29,Active
A000278,C00151,P03,56868.85,2023-03-31,Dormant
A000279,C00151,P01,3116.9,2020-02-29,Active
A000280,C00151,P06,-98269.97,2020-05-19,Active
A000281,C00152,P04,-13331.27,2015-10-06,Dormant
A000282,C00152,P01,7732.73,2026-07-14,Active
A000283,C00152,P10,-2225.06,2016-06-08,Active
A000284,C00153,P01,28645.75,2024-03-02,Active
A000285,C00154,P01,13623.08,2025-09-27,Active
A000286,C00155,P02,6316.26,2026-06-20,Active
A000287,C00156,P03,37049.99,2020-05-05,Dormant
A000288,C00156,P01,46471.36,2021-03-31,Active
A000289,C00157,P03,29409.7,2024-08-30,Active
A000290,C00157,P01,37343.47,2023-07-18,Active
A000291,C00158,P01,43376.95,2019-07-14,Active
A000292,C00159,P01,25631.45,2026-01-12,Active
A000293,C00159,P02,129383.04,2026-03-30,Active
A000294,C00160,P03,11044.35,2024-07-16,Active
A000295,C00160,P01,27039.5,2023-01-01,Active
A000296,C00161,P01,1248.89,2024-04-02,Active
A000297,C00162,P01,6756.06,2025-07-17,Active
A000298,C00162,P06,-60612.28,2026-07-05,Active
A000299,C00163,P06,-79955.42,2026-10-28,Active
A000300,C00163,P01,27418.72,2023-07-11,Active
A000301,C00163,P02,22539.53,2022-02-09,Active
A000302,C00163,P10,-10215.12,2022-06-08,Active
A000303,C00164,P01,36604.34,2023-10-20,Dormant
A000304,C00165,P01,11300.37,2021-01-20,Active
A000305,C00165,P06,-36375.15,2026-09-17,Dormant
A000306,C00166,P01,36050.23,2024-08-03,Active
A000307,C00167,P04,-16744.21,2025-07-21,Active
A000308,C00167,P01,40189.59,2024-02-12,Dormant
A000309,C00168,P01,42894.89,2021-07-30,Active
A000310,C00169,P03,6413.16,2023-06-06,Active
A000311,C00169,P01,46898.1,2026-07-12,Active
A000312,C00170,P01,44288.38,2026-07-05,Dormant
A000313,C00170,P02,26897.97,2026-08-07,Active
A000314,C00171,P03,20186.38,2018-04-16,Active
A000315,C00171,P01,21259.18,2026-03-23,Active
A000316,C00172,P04,-18807.66,2026-04-17,Active
A000317,C00172,P01,35561.39,2022-04-23,Active
A000318,C00173,P01,26614.57,2023-10-24,Active
A000319,C00173,P05,-252491.0,2021-06-29,Active
A000320,C00173,P11,22045.98,2016-10-27,Dormant
A000321,C00174,P04,-20930.88,2019-09-30,Active
A000322,C00174,P01,34467.02,2025-08-29,Active
A000323,C00175,P03,30562.16,2026-10-12,Active
A000324,C00175,P01,5619.03,2025-09-05,Active
A000325,C00176,P01,32065.27,2020-12-16,Active
A000326,C00177,P01,45803.24,2020-12-13,Active
A000327,C00177,P02,72921.98,2014-12-17,Active
A000328,C00178,P03,3346.5,2024-02-21,Active
A000329,C00178,P01,635.45,2025-03-20,Dormant
A000330,C00178,P02,14269.06,2026-02-04,Active
A000331,C00178,P10,-13609.57,2025-12-19,Active
A000332,C00179,P03,21173.19,2026-10-27,Active
A000333,C00179,P01,30334.46,2026-07-31,Active
A000334,C00180,P04,-18161.63,2020-03-08,Active
A000335,C00180,P01,18579.31,2022-07-16,Active
A000336,C00181,P03,58061.59,2024-03-14,Active
A000337,C00181,P01,76636.88,2013-01-07,Active
A000338,C00181,P10,-8265.93,2019-02-06,Active
A000339,C00181,P02,85744.26,2024-04-29,Dormant
A000340,C00181,P11,16272.75,2012-03-06,Active
A000341,C00182,P06,-100012.78,2019-11-17,Active
A000342,C00182,P01,20626.94,2017-07-13,Active
A000343,C00182,P02,7893.96,2021-06-20,Active
A000344,C00184,P01,45557.64,2026-11-13,Active
A000345,C00185,P01,43511.42,2022-05-16,Active
A000346,C00185,P10,-8842.72,2022-01-04,Closed
A000347,C00185,P05,-152607.66,2026-04-14,Active
A000348,C00185,P11,55512.4,2021-08-03,Active
A000349,C00186,P03,35955.11,2018-01-12,Active
A000350,C00186,P01,22334.98,2019-06-06,Active
A000351,C00186,P06,-70834.47,2016-02-15,Active
A000352,C00186,P10,-8369.79,2019-11-06,Active
A000353,C00186,P02,112975.89,2024-07-14,Active
A000354,C00187,P01,17371.17,2019-04-15,Active
A000355,C00188,P04,-5713.09,2018-12-30,Active
A000356,C00188,P01,29076.39,2026-03-11,Active
A000357,C00189,P04,-8151.83,2017-11-15,Active
A000358,C00189,P01,27128.41,2014-06-04,Active
A000359,C00190,P03,32571.27,2026-02-23,Active
A000360,C00190,P01,42251.7,2026-11-25,Active
A000361,C00190,P02,27855.21,2026-11-28,Active
A000362,C00190,P10,-2663.06,2026-09-16,Active
A000363,C00191,P04,-9819.69,2026-02-04,Active
A000364,C00191,P01,6624.2,2024-09-07,Active
A000365,C00192,P01,39149.63,2016-04-22,Dormant
A000366,C00193,P03,40917.72,2026-10-20,Active
A000367,C00194,P03,4673.94,2022-02-03,Active
A000368,C00194,P01,27887.73,2026-08-14,Dormant
A000369,C00194,P05,-65842.93,2025-06-16,Active
A000370,C00195,P03,26867.17,2026-05-15,Active
A000371,C00195,P01,31004.58,2024-12-24,Active
A000372,C00195,P10,-1338.34,2025-02-19,Active
A000373,C00196,P04,-14540.06,2024-12-05,Active
A000374,C00196,P01,37052.25,2025-01-27,Active
A000375,C00197,P01,3701.88,2022-02-01,Active
A000376,C00198,P01,10596.54,2018-06-11,Active
A000377,C00199,P03,12109.84,2025-08-18,Active
A000378,C00199,P01,45273.51,2026-03-24,Active
A000379,C00200,P03,21096.97,2022-01-24,Active
A000380,C00200,P01,27530.52,2025-04-27,Active
A000381,C00200,P02,130245.54,2020-06-16,Dormant
A000382,C00201,P01,18206.05,2026-08-24,Active
A000383,C00202,P04,-18580.65,2022-09-04,Dormant
A000384,C00202,P01,9963.21,2020-01-10,Active
A000385,C00203,P04,-16167.18,2020-02-14,Active
A000386,C00203,P01,44712.38,2019-02-21,Active
A000387,C00203,P02,17318.55,2022-08-17,Active
A000388,C00204,P10,-11041.72,2017-02-02,Active
A000389,C00205,P01,25328.76,2026-07-04,Dormant
A000390,C00205,P10,-6973.61,2026-11-06,Active
A000391,C00207,P04,-5800.85,2023-12-18,Active
A000392,C00207,P01,13421.01,2015-09-27,Active
A000393,C00208,P01,19411.18,2026-04-28,Dormant
A000394,C00209,P01,55059.93,2012-08-09,Active
A000395,C00210,P01,33738.09,2026-03-07,Active
A000396,C00211,P01,39678.27,2021-04-06,Dormant
A000397,C00212,P03,28887.93,2026-10-03,Active
A000398,C00212,P01,23875.22,2026-07-05,Active
A000399,C00213,P01,26883.78,2016-09-19,Dormant
A000400,C00214,P03,54342.0,2024-07-16,Active
A000401,C00214,P01,48726.63,2026-04-28,Active
A000402,C00214,P02,56389.08,2026-10-04,Active
A000403,C00214,P11,26030.03,2025-01-15,Active
A000404,C00215,P01,23275.79,2026-02-18,Active
A000405,C00216,P01,47501.72,2026-06-24,Active
A000406,C00217,P01,39708.23,2024-07-08,Active
A000407,C00218,P01,42543.45,2024-10-24,Active
A000408,C00219,P03,22737.2,2019-06-22,Active
A000409,C00219,P01,40406.46,2016-05-13,Closed
A000410,C00220,P01,32285.47,2014-08-31,Active
A000411,C00221,P01,35742.23,2026-11-20,Active
A000412,C00222,P04,-20652.67,2023-04-08,Active
A000413,C00223,P01,24769.27,2024-02-05,Active
A000414,C00224,P01,21839.66,2019-03-23,Active
A000415,C00226,P01,30585.01,2026-04-06,Active
A000416,C00227,P01,2895.26,2026-08-25,Active
A000417,C00227,P02,54269.87,2021-10-19,Active
A000418,C00227,P10,-12932.23,2020-11-17,Active
A000419,C00228,P03,1772.17,2024-07-22,Active
A000420,C00228,P01,46666.33,2025-04-09,Dormant
A000421,C00228,P04,-22086.97,2024-01-03,Dormant
A000422,C00229,P01,14416.84,2022-07-25,Dormant
A000423,C00230,P04,-19559.86,2022-05-19,Active
A000424,C00230,P01,22072.9,2024-02-05,Active
A000425,C00231,P01,33491.11,2019-11-17,Active
A000426,C00232,P04,-19701.42,2023-02-11,Active
A000427,C00232,P01,11574.68,2023-07-18,Active
A000428,C00233,P01,46167.38,2026-08-10,Active
A000429,C00234,P01,74614.24,2020-08-25,Active
A000430,C00234,P11,5724.22,2022-02-06,Active
A000431,C00235,P03,9189.26,2026-04-29,Active
A000432,C00235,P01,5805.2,2021-09-16,Active
A000433,C00235,P06,-102703.67,2026-06-14,Active
A000434,C00236,P04,-25609.14,2025-12-27,Active
A000435,C00236,P01,21941.57,2026-01-17,Dormant
A000436,C00237,P04,-6990.26,2026-12-17,Active
A000437,C00237,P01,60954.81,2026-10-11,Active
A000438,C00238,P04,-7351.49,2020-09-25,Active
A000439,C00238,P01,33583.6,2022-06-21,Active
A000440,C00239,P01,52386.86,2021-04-14,Active
A000441,C00240,P04,-17934.57,2018-09-13,Active
A000442,C00240,P01,13861.8,2026-06-19,Active
A000443,C00241,P01,37831.88,2026-04-22,Active
A000444,C00242,P01,7093.77,2019-10-16,Active
A000445,C00242,P02,188735.26,2013-08-07,Active
A000446,C00242,P10,-1767.02,2015-03-05,Active
A000447,C00243,P01,4482.86,2026-01-01,Active
A000448,C00243,P02,55358.48,2015-03-13,Dormant
A000449,C00243,P10,-6020.8,2026-09-23,Active
A000450,C00244,P01,17385.35,2025-03-17,Active
A000451,C00244,P02,93993.19,2025-11-05,Active
A000452,C00245,P01,30417.5,2026-09-20,Active
A000453,C00246,P03,22403.55,2018-12-03,Active
A000454,C00246,P01,711.58,2020-10-16,Active
A000455,C00247,P01,28341.67,2026-04-11,Active
A000456,C00248,P03,35435.72,2026-02-23,Dormant
A000457,C00248,P01,42948.39,2026-08-04,Active
A000458,C00249,P01,2230.28,2026-01-01,Active
A000459,C00249,P02,255910.36,2025-06-07,Active
A000460,C00249,P11,49027.74,2026-07-28,Active
A000461,C00250,P01,17241.73,2021-12-30,Active
A000462,C00251,P01,15453.63,2024-12-02,Active
A000463,C00252,P01,26168.44,2026-02-23,Active
A000464,C00253,P04,-6870.75,2024-09-07,Active
A000465,C00253,P01,41466.85,2025-09-09,Dormant
A000466,C00253,P02,158011.51,2026-06-05,Active
A000467,C00254,P01,3834.24,2026-10-24,Active
A000468,C00254,P10,-502.04,2023-11-02,Active
A000469,C00255,P03,6304.55,2026-06-23,Active
A000470,C00255,P01,32482.18,2024-04-16,Active
A000471,C00256,P01,33892.3,2020-05-16,Active
A000472,C00257,P01,38101.03,2025-11-15,Active
A000473,C00257,P06,-114934.46,2025-05-01,Active
A000474,C00258,P01,18053.74,2022-11-26,Active
A000475,C00259,P01,6041.36,2022-12-10,Active
A000476,C00260,P03,45794.05,2020-12-17,Active
A000477,C00260,P01,25831.42,2017-01-08,Active
A000478,C00260,P02,31997.01,2014-06-04,Active
A000479,C00261,P01,34751.51,2023-08-26,Dormant
A000480,C00261,P06,-96787.64,2024-11-09,Active
A000481,C00261,P10,-9400.51,2025-11-16,Active
A000482,C00262,P01,48439.31,2024-03-15,Active
A000483,C00262,P06,-61354.53,2024-05-31,Active
A000484,C00262,P11,7527.66,2026-02-04,Active
A000485,C00263,P04,-24963.25,2025-12-11,Active
A000486,C00263,P01,28480.26,2026-09-01,Active
A000487,C00264,P01,31180.72,2026-08-30,Active
A000488,C00264,P10,-1408.13,2024-11-26,Active
A000489,C00264,P11,22945.44,2023-11-11,Active
A000490,C00265,P03,46785.99,2024-12-14,Active
A000491,C00265,P01,14686.01,2019-10-27,Active
A000492,C00266,P03,38947.31,2022-03-11,Active
A000493,C00266,P01,66967.06,2021-08-30,Active
A000494,C00266,P05,-131999.63,2025-10-16,Active
A000495,C00266,P11,76651.98,2022-08-03,Active
A000496,C00267,P01,8440.31,2020-06-08,Dormant
A000497,C00267,P10,-10878.18,2025-10-16,Active
A000498,C00268,P01,6957.1,2026-11-24,Active
A000499,C00269,P04,-25377.63,2026-04-27,Active
A000500,C00269,P01,7838.23,2026-04-14,Active
A000501,C00270,P01,1170.08,2016-10-20,Dormant
A000502,C00271,P03,23626.33,2019-10-25,Active
A000503,C00271,P01,21570.93,2026-02-09,Active
A000504,C00271,P05,-173082.02,2020-09-13,Active
A000505,C00272,P01,2725.52,2025-08-02,Active
A000506,C00273,P03,264.38,2021-07-05,Active
A000507,C00273,P01,44506.47,2026-01-15,Active
A000508,C00274,P01,32791.4,2022-09-29,Dormant
A000509,C00275,P01,24198.24,2026-09-27,Dormant
A000510,C00275,P10,-9284.51,2026-11-02,Active
A000511,C00276,P03,23833.65,2026-01-13,Active
A000512,C00276,P01,77437.91,2026-01-23,Active
A000513,C00276,P10,-13338.79,2026-01-24,Active
A000514,C00277,P01,44544.42,2021-12-10,Active
A000515,C00277,P06,-46439.66,2024-04-02,Dormant
A000516,C00277,P10,-10591.79,2026-05-06,Active
A000517,C00278,P01,26712.25,2020-11-14,Active
A000518,C00279,P01,40732.98,2023-08-23,Active
A000519,C00279,P05,-122143.74,2025-07-16,Active
A000520,C00280,P01,18440.22,2025-01-06,Active
A000521,C00281,P03,9752.32,2024-11-18,Active
A000522,C00281,P01,24387.56,2022-01-05,Closed
A000523,C00281,P06,-68831.91,2026-12-25,Active
A000524,C00281,P11,35114.55,2024-09-14,Dormant
A000525,C00282,P03,20026.22,2023-01-08,Active
A000526,C00282,P01,39044.31,2026-12-12,Active
